JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460771.500000000, A.D. 2025-Apr-06 00:00:00.0000, -1.438237779819293E+08, -4.150076244574316E+07,  2.901481885049492E+03,  7.785555616437868E+00, -2.872765804078772E+01,  2.160336940756125E-03,
2460772.500000000, A.D. 2025-Apr-07 00:00:00.0000, -1.431299684498184E+08, -4.397647958237565E+07,  3.096977826816961E+03,  8.274305431547040E+00, -2.857928686766640E+01,  2.358307909407387E-03,
2460773.500000000, A.D. 2025-Apr-08 00:00:00.0000, -1.423940725373327E+08, -4.643903666740020E+07,  3.307744274664670E+03,  8.759772942393360E+00, -2.842304858427750E+01,  2.512848402924206E-03,
2460774.500000000, A.D. 2025-Apr-09 00:00:00.0000, -1.416163749481107E+08, -4.888775918571658E+07,  3.529811101078987E+03,  9.241932742330285E+00, -2.825905990017012E+01,  2.619301553881570E-03,
2460775.500000000, A.D. 2025-Apr-10 00:00:00.0000, -1.407971625274516E+08, -5.132198179378207E+07,  3.758899739306420E+03,  9.720760290490910E+00, -2.808741700897032E+01,  2.675126436525233E-03,
2460776.500000000, A.D. 2025-Apr-11 00:00:00.0000, -1.399367242681738E+08, -5.374104668131716E+07,  3.990592955131084E+03,  1.019623018832211E+01, -2.790819846659203E+01,  2.679617835031678E-03,
2460777.500000000, A.D. 2025-Apr-12 00:00:00.0000, -1.390353514420929E+08, -5.614430212858690E+07,  4.220485371887684E+03,  1.066831485481411E+01, -2.772146692538243E+01,  2.633732421619683E-03,
2460778.500000000, A.D. 2025-Apr-13 00:00:00.0000, -1.380933378503315E+08, -5.853110118483353E+07,  4.444321559850127E+03,  1.113698305698730E+01, -2.752727030514356E+01,  2.539965245466291E-03,
2460779.500000000, A.D. 2025-Apr-14 00:00:00.0000, -1.371109802097450E+08, -6.090080044328627E+07,  4.658123802762479E+03,  1.160219825331353E+01, -2.732564292812350E+01,  2.402227963306913E-03,
2460780.500000000, A.D. 2025-Apr-15 00:00:00.0000, -1.360885786819459E+08, -6.325275892351767E+07,  4.858308470986784E+03,  1.206391700387733E+01, -2.711660688649074E+01,  2.225705551930801E-03,
2460781.500000000, A.D. 2025-Apr-16 00:00:00.0000, -1.350264375252184E+08, -6.558633708102705E+07,  5.041789236236364E+03,  1.252208776056659E+01, -2.690017358436744E+01,  2.016698508958470E-03,
2460782.500000000, A.D. 2025-Apr-17 00:00:00.0000, -1.339248658278981E+08, -6.790089594646591E+07,  5.206067081164569E+03,  1.297665019552872E+01, -2.667634512646296E+01,  1.782481432474725E-03,
2460783.500000000, A.D. 2025-Apr-18 00:00:00.0000, -1.327841782803933E+08, -7.019579636205874E+07,  5.349310253672302E+03,  1.342753492495198E+01, -2.644511510452450E+01,  1.531218220732100E-03,
2460784.500000000, A.D. 2025-Apr-19 00:00:00.0000, -1.316046959707376E+08, -7.247039824580652E+07,  5.470430538840592E+03,  1.387466312770933E+01, -2.620646840954989E+01,  1.271965046818480E-03,
2460785.500000000, A.D. 2025-Apr-20 00:00:00.0000, -1.303867472464829E+08, -7.472405979290156E+07,  5.569163823682815E+03,  1.431794523012560E+01, -2.596037998855651E+01,  1.014763785967432E-03,
2460786.500000000, A.D. 2025-Apr-21 00:00:00.0000, -1.291306687677530E+08, -7.695613653749195E+07,  5.646161211166531E+03,  1.475727761506557E+01, -2.570681298474191E+01,  7.707799705300999E-04,
2460787.500000000, A.D. 2025-Apr-22 00:00:00.0000, -1.278368069671211E+08, -7.916598026733267E+07,  5.703090107701719E+03,  1.519253635413424E+01, -2.544571747085313E+01,  5.523695135760676E-04,
2460788.500000000, A.D. 2025-Apr-23 00:00:00.0000, -1.265055201994534E+08, -8.135293792973197E+07,  5.742731070492417E+03,  1.562356751721158E+01, -2.517703196385190E+01,  3.728732364756127E-04,
2460789.500000000, A.D. 2025-Apr-24 00:00:00.0000, -1.251371818483485E+08, -8.351635089685518E+07,  5.769035503912717E+03,  1.605017507022455E+01, -2.490069077892028E+01,  2.458683554920071E-04,
2460790.500000000, A.D. 2025-Apr-25 00:00:00.0000, -1.237321844646645E+08, -8.565555523006864E+07,  5.787085863869637E+03,  1.647210994491968E+01, -2.461664018673177E+01,  1.836306954778877E-04,
2460791.500000000, A.D. 2025-Apr-26 00:00:00.0000, -1.222909445704976E+08, -8.776988375652307E+07,  5.802887071803212E+03,  1.688906686002370E+01, -2.432486393096968E+01,  1.947983336965109E-04,
2460792.500000000, A.D. 2025-Apr-27 00:00:00.0000, -1.208139071224497E+08, -8.985867060335968E+07,  5.822937052767724E+03,  1.730069650570090E+01, -2.402541321010582E+01,  2.817281095399693E-04,
2460793.500000000, A.D. 2025-Apr-28 00:00:00.0000, -1.193015481057902E+08, -9.192125812497376E+07,  5.853591941975057E+03,  1.770663649554919E+01, -2.371842981595283E+01,  4.385914994600171E-04,
2460794.500000000, A.D. 2025-Apr-29 00:00:00.0000, -1.177543738344453E+08, -9.395700504984824E+07,  5.900341410391033E+03,  1.810655465313954E+01, -2.340414938433370E+01,  6.513525839100254E-04,
2460795.500000000, A.D. 2025-Apr-30 00:00:00.0000, -1.161729165304126E+08, -9.596529380497473E+07,  5.967182085409760E+03,  1.850018882580740E+01, -2.308287927438933E+01,  9.000267691234853E-04,
2460796.500000000, A.D. 2025-May-01 00:00:00.0000, -1.145577272135454E+08, -9.794553507222724E+07,  6.056259210675955E+03,  1.888736732809448E+01, -2.275495895282149E+01,  1.162406651237902E-03,
2460797.500000000, A.D. 2025-May-02 00:00:00.0000, -1.129093679021778E+08, -9.989716875374013E+07,  6.167838792458177E+03,  1.926800473630031E+01, -2.242071935001164E+01,  1.417728084152969E-03,
2460798.500000000, A.D. 2025-May-03 00:00:00.0000, -1.112284050131527E+08, -1.018196619107084E+08,  6.300547282174230E+03,  1.964208026326995E+01, -2.208045502367953E+01,  1.649065691914586E-03,
2460799.500000000, A.D. 2025-May-04 00:00:00.0000, -1.095154049330359E+08, -1.037125050377967E+08,  6.451749113298953E+03,  2.000961113353417E+01, -2.173441334027736E+01,  1.844152356337503E-03,
2460800.500000000, A.D. 2025-May-05 00:00:00.0000, -1.077709317428824E+08, -1.055752080124834E+08,  6.617940575458109E+03,  2.037063045271371E+01, -2.138279671261802E+01,  1.995040451979513E-03,
2460801.500000000, A.D. 2025-May-06 00:00:00.0000, -1.059955465107777E+08, -1.074072965590155E+08,  6.795087326318026E+03,  2.072517320750404E+01, -2.102577118856658E+01,  2.097235452785284E-03,
2460802.500000000, A.D. 2025-May-07 00:00:00.0000, -1.041898074594441E+08, -1.092083095253776E+08,  6.978882602930069E+03,  2.107326966990310E+01, -2.066347599076212E+01,  2.148787235972449E-03,
2460803.500000000, A.D. 2025-May-08 00:00:00.0000, -1.023542704719348E+08, -1.109777969131734E+08,  7.164934741429985E+03,  2.141494371516035E+01, -2.029603111948769E+01,  2.149585554937161E-03,
2460804.500000000, A.D. 2025-May-09 00:00:00.0000, -1.004894896227168E+08, -1.127153184443184E+08,  7.348905374176800E+03,  2.175021354553053E+01, -1.992354215222805E+01,  2.100922664103777E-03,
2460805.500000000, A.D. 2025-May-10 00:00:00.0000, -9.859601761130132E+07, -1.144204424290121E+08,  7.526620247036219E+03,  2.207909298055509E+01, -1.954610252081916E+01,  2.005286073679891E-03,
2460806.500000000, A.D. 2025-May-11 00:00:00.0000, -9.667440610171419E+07, -1.160927447482985E+08,  7.694169378481805E+03,  2.240159222039975E+01, -1.916379403087200E+01,  1.866305230795007E-03,
2460807.500000000, A.D. 2025-May-12 00:00:00.0000, -9.472520603783096E+07, -1.177318078368820E+08,  7.848006306827068E+03,  2.271771760431628E+01, -1.877668648793055E+01,  1.688770872807055E-03,
2460808.500000000, A.D. 2025-May-13 00:00:00.0000, -9.274896802506697E+07, -1.193372196229230E+08,  7.985049620598555E+03,  2.302747034232533E+01, -1.838483718439684E+01,  1.478658887044126E-03,
2460809.500000000, A.D. 2025-May-14 00:00:00.0000, -9.074624285676348E+07, -1.209085724371654E+08,  8.102785036981106E+03,  2.333084449607992E+01, -1.798829076469470E+01,  1.243113993511180E-03,
2460810.500000000, A.D. 2025-May-15 00:00:00.0000, -8.871758223308605E+07, -1.224454619355796E+08,  8.199363642863929E+03,  2.362782460859300E+01, -1.758707968238520E+01,  9.903768667891555E-04,
2460811.500000000, A.D. 2025-May-16 00:00:00.0000, -8.666353968724464E+07, -1.239474860851037E+08,  8.273691662959754E+03,  2.391838331536802E+01, -1.718122517052565E+01,  7.296641407332771E-04,
2460812.500000000, A.D. 2025-May-17 00:00:00.0000, -8.458467171438526E+07, -1.254142442463243E+08,  8.325508669719100E+03,  2.420247903094555E+01, -1.677073846714284E+01,  4.710250703974239E-04,
2460813.500000000, A.D. 2025-May-18 00:00:00.0000, -8.248153910444857E+07, -1.268453363641473E+08,  8.355453141227365E+03,  2.448005347341788E+01, -1.635562206768466E+01,  2.251934416870327E-04,
2460814.500000000, A.D. 2025-May-19 00:00:00.0000, -8.035470851422200E+07, -1.282403622685913E+08,  8.365114814229310E+03,  2.475102849941965E+01, -1.593587107201976E+01,  3.424733132639801E-06,
2460815.500000000, A.D. 2025-May-20 00:00:00.0000, -7.820475436480600E+07, -1.295989211159124E+08,  8.357070398151875E+03,  2.501530164932649E+01, -1.551147524601334E+01, -1.827410707031518E-04,
2460816.500000000, A.D. 2025-May-21 00:00:00.0000, -7.603226119120282E+07, -1.309206110838651E+08,  8.334891503624618E+03,  2.527274015534650E+01, -1.508242312207104E+01, -3.219099581528440E-04,
2460817.500000000, A.D. 2025-May-22 00:00:00.0000, -7.383782655449134E+07, -1.322050295769189E+08,  8.303101252980530E+03,  2.552317415660384E+01, -1.464871004520271E+01, -4.036193195888771E-04,
2460818.500000000, A.D. 2025-May-23 00:00:00.0000, -7.162206449378313E+07, -1.334517743655483E+08,  8.267042381599545E+03,  2.576639156730034E+01, -1.421035197809673E+01, -4.196163213645576E-04,
2460819.500000000, A.D. 2025-May-24 00:00:00.0000, -6.938560919696911E+07, -1.346604461859292E+08,  8.232613333716989E+03,  2.600213901581525E+01, -1.376740530355379E+01, -3.656095740787180E-04,
