JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460771.500000000, A.D. 2025-Apr-06 00:00:00.0000, -2.186284342494559E+08,  1.192299518905251E+08,  7.859953164074212E+06, -1.069194980236150E+01, -1.920241448416541E+01, -1.402204996634637E-01,
2460772.500000000, A.D. 2025-Apr-07 00:00:00.0000, -2.195452066855475E+08,  1.175670627054967E+08,  7.847586506020114E+06, -1.052952613380475E+01, -1.929018256928174E+01, -1.460430470105836E-01,
2460773.500000000, A.D. 2025-Apr-08 00:00:00.0000, -2.204479177875123E+08,  1.158966443729632E+08,  7.834717227853149E+06, -1.036645723874292E+01, -1.937669966546445E+01, -1.518551831536037E-01,
2460774.500000000, A.D. 2025-Apr-09 00:00:00.0000, -2.213365121403114E+08,  1.142188051313926E+08,  7.821346239510231E+06, -1.020275085218047E+01, -1.946196222941467E+01, -1.576566475832060E-01,
2460775.500000000, A.D. 2025-Apr-10 00:00:00.0000, -2.222109349978413E+08,  1.125336535266248E+08,  7.807474473786049E+06, -1.003841469920654E+01, -1.954596672807532E+01, -1.634471856879216E-01,
2460776.500000000, A.D. 2025-Apr-11 00:00:00.0000, -2.230711322828599E+08,  1.108412984106116E+08,  7.793102886239983E+06, -9.873456510553147E+00, -1.962870962228513E+01, -1.692265402198334E-01,
2460777.500000000, A.D. 2025-Apr-12 00:00:00.0000, -2.239170505870867E+08,  1.091418489400339E+08,  7.778232455153875E+06, -9.707884028291149E+00, -1.971018737086817E+01, -1.749944482863111E-01,
2460778.500000000, A.D. 2025-Apr-13 00:00:00.0000, -2.247486371715272E+08,  1.074354145749412E+08,  7.762864181572318E+06, -9.541705003649495E+00, -1.979039644832157E+01, -1.807506433749246E-01,
2460779.500000000, A.D. 2025-Apr-14 00:00:00.0000, -2.255658399668455E+08,  1.057221050775478E+08,  7.746999089354366E+06, -9.374927197841801E+00, -1.986933335989229E+01, -1.864948563515592E-01,
2460780.500000000, A.D. 2025-Apr-15 00:00:00.0000, -2.263686075736136E+08,  1.040020305110836E+08,  7.730638225151792E+06, -9.207558381342356E+00, -1.994699464383847E+01, -1.922268166076062E-01,
2460781.500000000, A.D. 2025-Apr-16 00:00:00.0000, -2.271568892624900E+08,  1.022753012385228E+08,  7.713782658322908E+06, -9.039606321923891E+00, -2.002337685984663E+01, -1.979462576997397E-01,
2460782.500000000, A.D. 2025-Apr-17 00:00:00.0000, -2.279306349745158E+08,  1.005420279212473E+08,  7.696433480868094E+06, -8.871078772372245E+00, -2.009847657150426E+01, -2.036529226191108E-01,
2460783.500000000, A.D. 2025-Apr-18 00:00:00.0000, -2.286897953216066E+08,  9.880232151786995E+07,  7.678591807440370E+06, -8.701983477840209E+00, -2.017229033933305E+01, -2.093465599792736E-01,
2460784.500000000, A.D. 2025-Apr-19 00:00:00.0000, -2.294343215871121E+08,  9.705629328326906E+07,  7.660258775381833E+06, -8.532328196734252E+00, -2.024481472853383E+01, -2.150269144777956E-01,
2460785.500000000, A.D. 2025-Apr-20 00:00:00.0000, -2.301641657263116E+08,  9.530405476762524E+07,  7.641435544712730E+06, -8.362120712861509E+00, -2.031604631648553E+01, -2.206937216008278E-01,
2460786.500000000, A.D. 2025-Apr-21 00:00:00.0000, -2.308792803669176E+08,  9.354571781527638E+07,  7.622123298089936E+06, -8.191368831004743E+00, -2.038598169498612E+01, -2.263467099095404E-01,
2460787.500000000, A.D. 2025-Apr-22 00:00:00.0000, -2.315796188097432E+08,  9.178139456346545E+07,  7.602323240807567E+06, -8.020080363629475E+00, -2.045461747693968E+01, -2.319856079635496E-01,
2460788.500000000, A.D. 2025-Apr-23 00:00:00.0000, -2.322651350295052E+08,  9.001119744120139E+07,  7.582036600841187E+06, -7.848263119286219E+00, -2.052195030467696E+01, -2.376101510672139E-01,
2460789.500000000, A.D. 2025-Apr-24 00:00:00.0000, -2.329357836755673E+08,  8.823523916831072E+07,  7.561264628852498E+06, -7.675924900311554E+00, -2.058797684205836E+01, -2.432200829506614E-01,
2460790.500000000, A.D. 2025-Apr-25 00:00:00.0000, -2.335915200725720E+08,  8.645363275453494E+07,  7.540008598122519E+06, -7.503073512224032E+00, -2.065269375132740E+01, -2.488151503851759E-01,
2460791.500000000, A.D. 2025-Apr-26 00:00:00.0000, -2.342323002211556E+08,  8.466649149852000E+07,  7.518269804492224E+06, -7.329716775397554E+00, -2.071609768210218E+01, -2.543950965406685E-01,
2460792.500000000, A.D. 2025-Apr-27 00:00:00.0000, -2.348580807989146E+08,  8.287392898674572E+07,  7.496049566391356E+06, -7.155862528398690E+00, -2.077818528403198E+01, -2.599596597245712E-01,
2460793.500000000, A.D. 2025-Apr-28 00:00:00.0000, -2.354688191615294E+08,  8.107605909256256E+07,  7.473349224923417E+06, -6.981518628762633E+00, -2.083895322632054E+01, -2.655085744160175E-01,
2460794.500000000, A.D. 2025-Apr-29 00:00:00.0000, -2.360644733438279E+08,  7.927299597533612E+07,  7.450170143908542E+06, -6.806692955479217E+00, -2.089839820711471E+01, -2.710415712836376E-01,
2460795.500000000, A.D. 2025-Apr-30 00:00:00.0000, -2.366450020607386E+08,  7.746485407951246E+07,  7.426513709846392E+06, -6.631393403736464E+00, -2.095651694969497E+01, -2.765583800832907E-01,
2460796.500000000, A.D. 2025-May-01 00:00:00.0000, -2.372103647082856E+08,  7.565174813353109E+07,  7.402381331860475E+06, -6.455627868863107E+00, -2.101330619042622E+01, -2.820587371585441E-01,
2460797.500000000, A.D. 2025-May-02 00:00:00.0000, -2.377605213647648E+08,  7.383379314877498E+07,  7.377774441698633E+06, -6.279404238582079E+00, -2.106876266591290E+01, -2.875423888239554E-01,
2460798.500000000, A.D. 2025-May-03 00:00:00.0000, -2.382954327920494E+08,  7.201110441874495E+07,  7.352694493782707E+06, -6.102730408553349E+00, -2.112288310996121E+01, -2.930090838972976E-01,
